a,b,alpha,beta
-55.94163981393489,7.419350816239855,-13.532819203783738,0.07961130592176037
2.1014253339689013,4.660282836597542,-14.181357959317674,0.08543123383803189
-67.2493301724528,7.745501258298296,-13.081848051147652,0.07647002605700681
3.5771286920110814,4.742562129869577,-12.42344489831615,0.07156077864403064
-31.330632203261292,6.0943466682554135,-12.747129030342593,0.07390294352447149
-27.37557310418722,6.024184193133853,-12.365302901447507,0.07061161373093555
-24.449922671460627,5.897844030480144,-12.625310896519778,0.07308042621024517
10.75979747387819,4.6260055921455026,-13.616288648068357,0.08055625874998927
-21.766785097123662,5.676299693848471,-14.853862196311878,0.09024987735612186
-7.530064464861372,5.168781005357773,-15.061452077132534,0.09206283770384716
41.68048009390666,3.065002880333838,-13.748793790762218,0.08151665979800796
-14.06521279503606,5.717454970498264,-12.851172396700042,0.07447340699247876
-14.757727024557587,5.735298625292461,-12.829091297920527,0.07443531226080596
-17.226471179276892,5.476224206623215,-14.585534338712604,0.08827127609718313
-26.244408305661228,6.25567285611448,-15.598416365109692,0.09592407300763155
-33.40082944222002,6.227771121760318,-12.48853871487676,0.07196877431602622
-37.859925467541714,6.6421100630671885,-15.612084401622948,0.09604624124347834
-28.40578923527569,5.856352385250286,-12.304389145897504,0.07043201982124979
-27.133872485375985,6.227899357023333,-15.145869290548557,0.0928358191369908
-28.07595673614922,6.44382165676207,-15.251258103039172,0.09336303448256672
-23.713790968272985,5.5343127766038815,-12.323898044030495,0.07020561411079568
-32.38888398172286,6.807762452894073,-13.449957304496973,0.0796223604879646
-33.40401830751387,5.932737805796708,-13.116068838430376,0.07720925999800202
3.557656072800711,4.9535027383512755,-14.6967888915461,0.08915058377100002
-45.0571312665025,6.717698165513029,-13.082848285520543,0.07633627481944809
-21.447048221853233,5.987854787322257,-13.560059940829987,0.07989966526995747
-44.70502810526347,6.41939185851649,-13.127795756603684,0.07654194279805307
-37.58489847869733,6.95734386242016,-12.102830873436659,0.06914515673454409
-44.53654282606494,7.205761407758429,-14.116427162475789,0.08471155091701155
-14.044894335785195,5.477248277209269,-13.432944550767875,0.07933863616755517
10.962306251054144,4.350136943565102,-11.892987674606074,0.0669175803084239
-59.43118125457538,7.287160792856249,-13.99636650378587,0.08389468246269025
-29.103150939353267,6.651174980644697,-12.525869928259933,0.07203066030405787
-57.519594659801804,7.7021088601078675,-12.744622398071161,0.07404584265438634
16.63179645457119,4.738981857598799,-14.206122455091963,0.0850447019799878
13.262561581200679,5.067165078484651,-13.438042828863859,0.07959055412552511
-25.440514317743677,6.159874522371003,-15.149482178692946,0.0926946541481844
-71.02019305197445,7.82268230473774,-14.734019194032097,0.08923018472358436
-59.63409343138988,7.498214942600397,-14.667998432252984,0.08899599212086284
-50.438654647174346,7.107427132918618,-14.60026628719785,0.08821187197772536
-36.60826614099236,6.487336880081756,-13.556244913476885,0.08010899523639645
-44.30393500761003,6.795889219289499,-13.890758680529244,0.08257372766770558
-24.989097116046814,5.8064998238947245,-14.55579759943806,0.08769625757678609
-31.155823467081515,6.107775564823444,-14.092611209126382,0.0844415554565827
-38.05840165328195,6.30967343023725,-13.109350181316795,0.0768425477628242
-16.709918144047165,5.455604827656692,-14.44412879577371,0.08683226491408022
-11.57419014603479,5.311145563172993,-14.597407187563782,0.08860452730707236
-33.38443238911163,6.262656941050631,-14.221288027116861,0.08576657447765076
-44.918001905027054,6.715594872710952,-12.861689181077232,0.07539436941922051
-22.644998020134434,6.060629862059254,-12.520126164624287,0.07188518199546157
-26.619573664692627,6.033871785884038,-13.745071448839996,0.08147001842987033
-11.205143809547378,5.87371345581904,-14.619868238098475,0.088294727602097
-3.8772650468041054,5.451592742767959,-13.56135011474039,0.08057267859411657
31.110207788391325,3.9480419688090933,-13.804952232495248,0.0826099387567496
-32.65187336474116,6.356345782269398,-14.839544102463996,0.09039464130456794
-35.07897852291545,6.50865162969858,-14.607998690880274,0.08837381959584367
-64.16202245696185,7.952464548421217,-15.048131572445843,0.09169839698170372
-55.501032288866234,7.267917306063802,-14.677963976999987,0.08901143590858385
25.06342164444298,3.7142323425382493,-12.425400223114995,0.07131888505121252
22.813696595930402,3.605505664046335,-12.344648863684194,0.07061450151943244
24.40471477054326,3.7089400329834974,-11.882323729193306,0.06743422181768365
-27.487193068511623,5.969270459126657,-11.520334479075455,0.0647275100074856
-34.932062880212904,6.758409667499225,-12.27835351812122,0.0705383493170092
9.280978053864626,4.422077400399484,-13.297615085823818,0.07809955491009601
-21.84800996835183,5.398425003578023,-11.593791941058234,0.06480137416813715
8.2136706892436,4.860634252033106,-13.530221338159238,0.08007838710456898
-57.73151219529217,6.942501288839638,-13.935980634152854,0.08298763988920742
-37.64969091608768,6.135451268753803,-14.53320457482421,0.08776739174865913
-51.603458961154686,7.197860265588092,-13.051742964286008,0.076356201368
-58.023007281959096,6.9609021381525915,-13.389051516424068,0.07908626687690803
-30.46493197076472,6.06055262465794,-13.717546799873874,0.08168343292798298
3.620097265313285,4.688706944220209,-14.901113989658223,0.09041566793329277
-63.52830788754555,7.1053234762370145,-13.45212888806638,0.07906249528148156
-58.48688196254841,7.443014871841595,-13.69812197012052,0.0813383258525733
-45.35616388569381,6.915547242079517,-12.970582267970904,0.07553924207585436
-4.1824341718023765,4.669141620195835,-12.239044687288517,0.06980036907262997
-65.0008445930413,7.745534669929794,-13.611131751238181,0.08025698656515183
-20.644798078422657,6.513479053038906,-14.629101319594277,0.08818483884381373
-14.143303678899628,6.259057708437788,-13.206334246121664,0.07713478699452284
9.250528033773342,5.168160261532047,-11.923735684579677,0.06791698330398602
-53.87714316928466,7.1540383409520105,-15.36774477165857,0.09456497076459018
-47.61256233595209,6.6969004512813965,-14.447350890145191,0.08675221774603459
-25.041154856050547,6.042752863330471,-13.853763650089046,0.08282853659696389
-29.812703732152492,6.263568333828028,-14.319745466931595,0.08577354671684274
-56.168214353300385,7.607322762670536,-14.489437872684952,0.08780115447641969
-67.19701019020773,7.934725214188733,-14.664079056749596,0.08901776685378104
10.947490654754105,4.441783724410655,-13.422412094931344,0.0792241860594172
-6.827520718928056,5.371147374608811,-14.32931197673924,0.08600903561841551
-19.662356015268685,5.7933920593300865,-14.000258756050462,0.0835270429239125
-22.88771915980649,5.979083048285548,-14.005639132526207,0.08382514209065622
0.19382009106817608,4.680705769777117,-12.70929971781377,0.07380142456599437
-15.833656250423328,5.75100288917941,-12.938608617777875,0.07522519562983318
-37.54013260286998,6.253754019882197,-13.305329675664273,0.07844950466525423
-28.962905040407815,6.069983033743923,-13.912461042795647,0.08280147475882307
14.993696918654928,4.430523342126965,-12.416250270060685,0.07093633917856935
-21.151663187240924,5.7642464792322805,-11.509378889242214,0.06473055211343257
6.430816760606223,4.951477383081592,-12.88319587528668,0.07544667786037904
-18.136818730802133,5.62136671385788,-12.92185368713852,0.07570673925989246
-18.622781230088886,5.472815341426197,-13.561874641089966,0.08001069861610395
-39.505346828410175,6.568850748994457,-12.955015225704855,0.07574833621229196
-36.00967340047042,6.482256195126454,-13.011488040353083,0.07593482080906334
-32.982287171590755,6.2221166827909515,-14.444002198139817,0.08722140411980585
-59.151770813898416,7.372828023666731,-12.783004543761166,0.07411941031364006
-57.976323943170534,7.133960223527482,-14.050626134079861,0.08406458209266995
-25.667786711024892,5.925986772753928,-14.176607895106718,0.08503768814691323
-28.852783604998475,6.146033312691288,-14.150231351645076,0.08502690503696703
-47.18654390558207,6.857111289534739,-13.703542599633481,0.08119386527667845
-40.09880024190916,6.501399806376381,-13.358841622318433,0.07882956244853004
-46.7866656007778,6.940990634886776,-13.109121154935343,0.07668519489336749
-30.919749717878886,6.0613233878006305,-14.059399194092888,0.08415132802130491
5.796999840890922,4.64576189127877,-12.93534824250211,0.07547370987220019
-61.88614686858847,6.767160093550557,-14.66367205554486,0.08866735816589949
-4.132638008151162,4.800717429608862,-12.786963363126711,0.07394271313601854
-3.1480042410149,4.682952040490859,-12.681956410938895,0.07370593926189375
-15.105365782537412,5.33681215023092,-12.370044037743225,0.07120771477566978
-24.859214548419285,6.182883944519732,-12.42135633672833,0.07112369425063499
-18.211201343574203,5.9870661484226755,-12.744484319497284,0.07421851427273994
-72.17921157255165,8.19544953926224,-13.818972658322407,0.08249382522580877
29.356938806403807,3.72492927314708,-14.154797480265396,0.08455501841072142
-16.00751320351164,5.257277431584669,-14.841483467781263,0.09047131652976087
-18.65873246537306,5.486790636227586,-14.767516552283494,0.0892478048701155
3.197990492055321,4.396021584636781,-14.153887239180971,0.08467264518244383
-21.114077908441136,5.5463926107011945,-13.761149862709813,0.08208941933294453
-60.85497779331055,7.595338087028066,-14.265004635465598,0.08539990434826601
-50.1137732875587,6.806687609790867,-14.294450012688236,0.0859769543390314
-48.760416967637234,6.885114014992309,-14.23833896710308,0.08495095952206075
-41.694791238804456,6.7715425163442315,-13.905904532115665,0.08257745710951615
-58.82974903093603,7.0323835756762225,-13.385534834347881,0.0786710993159374
-36.71301210954768,6.188450597180539,-14.241655244133122,0.08532932303684342
-27.889093140335508,6.0801780777662335,-12.779319235853658,0.07458619692439199
19.078568816344998,4.334323657532503,-12.91313872991947,0.07487115667473841
7.969327306712003,5.195177420155807,-12.912155084853861,0.07535503656304571
-52.17600865520978,7.1893389156598,-14.61791188757749,0.08857647060459636
-60.088909301102106,7.986340743121044,-14.316365791516256,0.08598884108713473
-60.56425001263485,8.000234190365834,-14.661151990068904,0.08890522654970726
-58.255419505889236,7.470007818805118,-14.712105920421156,0.0892365906236597
26.47331058190591,4.253162429978112,-12.119463876857028,0.06889461287717669
21.02290306843912,4.2942835217325035,-11.718105736855989,0.0664000555578009
-62.31843363987486,7.4506513732634945,-13.19591552850237,0.07790325914827369
-58.43374577313628,7.329486023547327,-13.150536116698513,0.07724307243357675
-52.6086505294694,7.191157525826078,-13.37616815644885,0.07898122257973526
-39.97572450742741,6.3882124353259915,-13.610691904436608,0.08083887043965349
-20.47659715893299,5.926570467378071,-13.842976262080427,0.08236881147392484
-5.877046879856512,5.419919398292386,-13.56913957891931,0.08034841310020314
-24.847527597131936,5.8990832546242284,-14.788191310833204,0.09011200481148635
-62.65580260954855,7.842013562389311,-14.81908249983603,0.08966266141621959
-31.99993860397991,6.423779466819164,-14.356951326087376,0.08639295869520837
-27.357357627413204,6.202667189374972,-14.356910354035385,0.08666565899989354
-58.83193091382773,7.246443080007469,-11.959398196909685,0.06753547004149836
-44.98377588789447,6.843890882536772,-13.205574373488327,0.07752708268391711
-74.02297810616115,7.97872498923123,-14.332205914456823,0.08600012711858247
-49.02800084507476,6.808279903076069,-14.743045760986043,0.08929536490961784
-42.15324299332346,6.574050740235323,-14.805686427738046,0.08945393663876619
-44.892357108909486,6.7551091938549925,-14.568461104723262,0.08802430737936978
-33.231271168327474,6.317739093156892,-13.445416105019403,0.07935049047851045
-17.99614232116493,5.716710107914805,-12.047228152623973,0.06846739316109672
7.899091366010456,4.554722914002231,-13.27689466517558,0.07781630946269764
19.070681504369897,4.10831159724245,-13.529215509851067,0.07963365807462894
10.864598065543694,4.3198136748367135,-13.10253265133536,0.07642456304977276
3.6628584238409565,4.670667314288231,-13.115058533239653,0.07687960418776044
-61.0612691777241,7.613793509032012,-14.19075943234683,0.08517906286302168
-33.49365004937356,6.694546209318121,-14.012094480469063,0.08367062278704207
-37.171442404541,6.944291593839216,-14.000767654085212,0.08403126264787557
-24.956473462387297,6.639190350467466,-14.539091008825231,0.08765169044125853
17.684101087334426,4.3114401442524395,-14.77188312203071,0.08961435530595208
14.98124823961113,4.568397584915582,-15.309584567583576,0.0938592551314971
-3.806678782572053,5.053806001500776,-14.823572617923894,0.0903349605828953
-56.02776382126499,7.21498742845824,-14.355445402845184,0.08655115118536723
-57.801408402179305,7.365817492493654,-14.547198198803853,0.08799115959391755
-79.41659147422772,8.160821097018912,-14.626668325045593,0.0886782950396238
-27.332087238523037,6.0901273639303595,-14.203589058955169,0.08537935494987346
-45.048400459710614,6.7842841671716645,-15.02850944807201,0.09153127507117712
-52.756669964202004,7.101879537656575,-14.164697743118614,0.08492814765135029
