model,estimated_compute,conf_low,conf_high,methods,notes
Claude 3.7 Sonnet,1.5920709480098268e+24,8.519317739471473e+22,1.5178311924645554e+25,"['Temporal', 'Organization']",Latest Claude
GPT-4 0125,7.087541943626262e+24,1.243688410792297e+22,2.3651777173500107e+26,"['Temporal', 'Parameters', 'Organization']",GPT-4 Turbo
