model,eci_name,metr_score,metr_score_simple,eci_score,training_compute
Claude 3.5 Sonnet (Old),Claude 3.5 Sonnet (Jun 2024),0.02042594417970481,0.6247922647308417,130.0,2.700000000000001e+25
Claude 3.5 Sonnet (New),Claude 3.5 Sonnet (Oct 2024),0.03054037833458259,0.6811272729857659,133.59354254461562,2.700000000000001e+25
Claude 3.7 Sonnet,Claude 3.7 Sonnet (1k thinking),0.05596399744043684,0.7691854090918155,,3.35e+25
GPT-4 0314,GPT-4 (Mar 2023),0.012445419502642555,0.5447740559978891,125.6972661914446,2.1e+25
GPT-4 0125,GPT-4 Turbo Preview (Nov 2023),0.0045701689450426,0.5020089899087019,,
GPT-4o,GPT-4o (May 2024),0.01238614783375895,0.5650381135886197,128.37832179007023,
o1-preview,o1-preview,0.02260337426244248,0.6756677659379955,134.67401049448446,
