threshold,n_models,slope,intercept,r2,stderr
Full,80,12.127119689814773,-173.33899422824592,0.751117061217759,0.7904130686577979
≥ 10²³,67,11.21514827856517,-150.4473136640972,0.6724955741865624,0.9707607599080961
≥ 10²⁴,46,7.192990541656663,-48.999938405385564,0.3515916219853008,1.4726115449617916
No GPT-2 era,79,12.507222845041039,-182.68530950995182,0.7474094090242427,0.8285998100117585
