scheme,r_squared,current_metr,target_eci,progress_pct,kaplan_achievable_pct
equal,0.9451049448974247,0.6870860843220914,147.68714804224564,76.34289825801015,127.75377669659278
remaining,0.4346769706715566,0.06969860488739421,120.30254620281632,7.74428943193269,156.8345103863146
frontier,0.7176829574689239,0.027019578758814805,634.885669608583,3.002175417646089,29.71809230404878
binary,0.3441563115682251,0.21106417761651297,119.8713561701834,23.451575290723664,157.39866082068053
