date,capability_index
2019-02-17,-0.01256315344280453
2019-02-24,-0.012100995147594808
2019-03-03,-0.01163827172322795
2019-03-10,-0.011174913924703106
2019-03-17,-0.010710841991058423
2019-03-24,-0.010245963678915592
2019-03-31,-0.009780171931774644
2019-04-07,-0.009780171931774644
2019-04-14,-0.009313342120251715
2019-04-21,-0.008845328778102412
2019-04-28,-0.008375961747389587
2019-05-05,-0.007905041633660414
2019-05-12,-0.007432334458777577
2019-05-19,-0.006957565385622011
2019-05-26,-0.0064804113761198
2019-06-02,-0.0064804113761198
2019-06-09,-0.006000492633313759
2019-06-16,-0.0055173626715787445
2019-06-23,-0.005030496859628539
2019-06-30,-0.004539279293069212
2019-07-07,-0.004042987883071762
2019-07-14,-0.00354077760369516
2019-07-21,-0.00354077760369516
2019-07-28,-0.0030316619337498124
2019-08-04,-0.0025144926744661918
2019-08-11,-0.001987938539921975
2019-08-18,-0.0014504632250063444
2019-08-25,-0.0009003040799089935
2019-09-01,-0.00033545308459599556
2019-09-08,0.0002463574604755312
2019-09-15,0.0002463574604755312
2019-09-22,0.0008476612272855777
2019-09-29,0.0014712518190509714
2019-10-06,0.0021201590039841576
2019-10-13,0.002797600860226719
2019-10-20,0.003506904856712336
2019-10-27,0.004251391030794128
2019-11-03,0.004251391030794128
2019-11-10,0.0050342118116440794
2019-11-17,0.005858146242656589
2019-11-24,0.006725351858798733
2019-12-01,0.007637085436232457
2019-12-08,0.008593413769453646
2019-12-15,0.009592946112495865
2019-12-22,0.010632628440944192
2019-12-29,0.010632628440944192
2020-01-05,0.011707642969944775
2020-01-12,0.01281145121312288
2020-01-19,0.01393600355109785
2020-01-26,0.015072113881330156
2020-02-02,0.016209968972688563
2020-02-09,0.017339715815468282
2020-02-16,0.017339715815468282
2020-02-23,0.018452054062947733
2020-03-01,0.01953875958123441
2020-03-08,0.020593079500077147
2020-03-15,0.021609964544207928
2020-03-22,0.022586133474841286
2020-03-29,0.023519989811414996
2020-04-05,0.02441142767035159
2020-04-12,0.02441142767035159
2020-04-19,0.025261570015098222
2020-04-26,0.02607248029158732
2020-05-03,0.02684688040418101
2020-05-10,0.027587897600648337
2020-05-17,0.028298852717697342
2020-05-24,0.028983093967137618
2020-05-31,0.028983093967137618
2020-06-07,0.02964387461019008
2020-06-14,0.030284269379860437
2020-06-21,0.030907122913159817
2020-06-28,0.03151502318296575
2020-07-05,0.032110293456062346
2020-07-12,0.032694997246199085
2020-07-19,0.033270951801800466
2020-07-26,0.033270951801800466
2020-08-02,0.033839746698970635
2020-08-09,0.034402765014641554
2020-08-16,0.03496120529935485
2020-08-23,0.03551610315397653
2020-08-30,0.03606835165627747
2020-09-06,0.03661872020526278
2020-09-13,0.03661872020526278
2020-09-20,0.03716787157780621
2020-09-27,0.03771637714578204
2020-10-04,0.03826473030127646
2020-10-11,0.038813358197701625
2020-10-18,0.03936263194740692
2020-10-25,0.03991287543045941
2020-11-01,0.040464372871074475
2020-11-08,0.040464372871074475
2020-11-15,0.041017375332314546
2020-11-22,0.04157210626935537
2020-11-29,0.0421287662690336
2020-12-06,0.04268753708999216
2020-12-13,0.043248585104454
2020-12-20,0.04381206423004037
2020-12-27,0.04437811842841737
2021-01-03,0.04437811842841737
2021-01-10,0.04494688383704192
2021-01-17,0.04551849059092606
2021-01-24,0.04609306438310574
2021-01-31,0.046670727805322755
2021-02-07,0.04725160150420864
2021-02-14,0.047835805182899524
2021-02-21,0.047835805182899524
2021-02-28,0.04842345847341152
2021-03-07,0.049014681701169516
2021-03-14,0.049609596559722385
2021-03-21,0.05020832671081177
2021-03-28,0.05081099832252071
2021-04-04,0.051417740556147694
2021-04-11,0.052028686010676076
2021-04-18,0.052028686010676076
2021-04-25,0.05264397113219273
2021-05-02,0.0532637365943076
2021-05-09,0.053888127654506054
2021-05-16,0.05451729449039615
2021-05-23,0.05515139251896527
2021-05-30,0.05579058270121708
2021-06-06,0.05579058270121708
2021-06-13,0.05643503183389539
2021-06-20,0.057084912829405206
2021-06-27,0.057740404984496126
2021-07-04,0.058401694237766866
2021-07-11,0.05906897341557549
2021-07-18,0.059742442465485115
2021-07-25,0.06042230867593588
2021-08-01,0.06042230867593588
2021-08-08,0.06110878688040318
2021-08-15,0.061802099643875986
2021-08-22,0.06250247742906412
2021-08-29,0.06321015873931661
2021-09-05,0.06392539023480584
2021-09-12,0.06464842681810148
2021-09-19,0.06464842681810148
2021-09-26,0.06537953168482759
2021-10-03,0.06611897633466908
2021-10-10,0.06686704053757135
2021-10-17,0.06762401224956831
2021-10-24,0.06839018747228479
2021-10-31,0.06916587004979931
2021-11-07,0.06995137139623302
2021-11-14,0.06995137139623302
2021-11-21,0.07074701014716435
2021-11-28,0.07155311172777161
2021-12-05,0.07237000783049369
2021-12-12,0.07319803579499422
2021-12-19,0.07403753788333653
2021-12-26,0.07488886044355136
2022-01-02,0.07488886044355136
2022-01-09,0.07575235295523203
2022-01-16,0.07662836695144797
2022-01-23,0.07751725481216369
2022-01-30,0.07841936842550641
2022-02-06,0.07933505771468458
2022-02-13,0.08026466903014812
2022-02-20,0.06673999554577056
2022-02-27,0.06673999554577056
2022-03-06,0.06754598277143861
2022-03-13,0.06836451770314526
2022-03-20,0.0693119839764374
2022-03-27,0.070272525890386
2022-04-03,0.0712463827331963
2022-04-10,0.07223377860675151
2022-04-17,0.07246613352013159
2022-04-24,0.07346730269302355
2022-05-01,0.07448240639039758
2022-05-08,0.07551161146469963
2022-05-15,0.07655506197978833
2022-05-22,0.0777291504475951
2022-05-29,0.07880144124053143
