date,actual_compute,actual_metr,kaplan_predicted_compute,lucr_tax
2019-03-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2019-04-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2019-05-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2019-06-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2019-07-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2019-08-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2019-09-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2019-10-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2019-11-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2019-12-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2020-01-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2020-02-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2020-03-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2020-04-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2020-05-01,7.936e+20,0.0,8.578908941836133e+23,0.0009250593582243418
2020-06-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2020-07-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2020-08-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2020-09-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2020-10-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2020-11-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2020-12-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-01-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-02-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-03-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-04-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-05-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-06-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-07-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-08-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-09-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-10-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-11-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2021-12-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-01-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-02-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-03-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-04-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-05-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-06-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-07-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-08-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-09-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-10-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-11-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2022-12-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2023-01-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2023-02-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2023-03-01,3.14e+23,0.009917128649513,2.0083928837695223e+24,0.15634391185984395
2023-04-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2023-05-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2023-06-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2023-07-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2023-08-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2023-09-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2023-10-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2023-11-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2023-12-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2024-01-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2024-02-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2024-03-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2024-04-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2024-05-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
2024-06-01,2.1e+25,0.0441742941965247,4.3241863666829216e+165,4.8564049324518536e-141
