date,max_compute_flops,max_parameters,compute_threshold,params_threshold,num_frontier_models,frontier_model_names
2023-06-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2023-07-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2023-08-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2023-09-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2023-10-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2023-11-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2023-12-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-01-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-02-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-03-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-04-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-05-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-06-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-07-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-08-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-09-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-10-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-11-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2024-12-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-01-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-02-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-03-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-04-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-05-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-06-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-07-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-08-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-09-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
2025-10-01,2.1e+25,1800000000000.0,2.0999999999999999e+24,180000000000.0,5,"GPT-4 0125, GPT-4 0314, GPT-4 1106, GPT-4 Turbo, GPT-4o"
