metr_model,epoch_model,compute,eci,metr,logit_metr
gpt_4,GPT-4,2.1e+25,122.10983844787572,0.0282116465767927,-3.539403145498715
gpt_4_turbo,GPT-4 Turbo,2.1e+25,122.10983844787572,0.0210233564963475,-3.840873750958664
gpt_4o,GPT-4o,8.66331653246133e+24,129.08328664033564,0.0336365114031417,-3.357927919730868
o1_preview,o1-preview,2.5043453385378528e+25,134.67401049448446,0.0540420942644976,-2.862434804643184
claude_3_opus,Claude 3 Opus,5.563148765327616e+24,126.75047134402726,0.0288794239477182,-3.5153212703557473
claude_3_5_sonnet,Claude 3.5 Sonnet,2.700000000000001e+25,135.07019801492848,0.052535061798838,-2.8923091412583184
claude_3_7_sonnet,Claude 3.7 Sonnet,3.35e+25,136.2062792345749,0.1169668816210444,-2.021471874898689
