task_family,n_runs,n_models,avg_score,sigmoid_L,sigmoid_x0_days,sigmoid_k,sigmoid_b,sigmoid_max,r_squared,n_points
env_scientist,761,14,0.2683884176842313,1.6668201641894027,2410.5640708224523,0.002974529612694772,-0.0016002174072605217,1.6652199467821422,0.8659845710484042,14
pico_ctf,714,14,0.5644257703081232,1.5293294277300615,1994.7452074304747,0.002610849996195233,-0.03308231554243185,1.4962471121876297,0.9401302631340872,14
blackbox,639,14,0.17046048227543034,0.28294164116184667,1948.2150156851371,0.05135325167971126,0.08304442855800356,0.36598606971985026,0.6053616881638766,14
hypothesis_testing,622,14,0.41479099678456594,1.2816686361773908,2080.1053590000865,0.007657874652412023,0.09094764079751982,1.3726162769749106,0.7945565465284918,14
password_check,607,14,0.4843492586490939,1.9999999999999998,2207.3301662825047,0.00441157257920659,0.060346364283419586,2.0603463642834194,0.8756063342891967,14
avoid_shutdown,540,14,0.09259259259259259,1.999999999950903,2371.6295806632024,0.009748271812311074,0.04433691683778018,2.044336916788683,0.5860310346209683,14
reverse_hash,505,14,0.6613861386138614,1.3213854042837843,1765.7914489976433,0.0030550405297029375,-0.03651070062520858,1.2848747036585757,0.9409604586321345,14
local_research_tex,503,14,0.19284294234592445,1.0584731158392262,2079.6433020143886,0.016156222895709272,0.013030206457674729,1.071503322296901,0.9424703874240472,14
munge_data,394,14,0.4543147208121827,1.9999999999999851,2485.4964806456123,0.001814240068157435,-0.02515649032629762,1.9748435096736876,0.5516883821896854,14
debug_small_libs,328,14,0.5375,1.9999999999999993,2201.9940962216747,0.0030636690554530347,0.054134796874459816,2.054134796874459,0.8164243262026765,14
interpret_data,310,14,0.7903225806451613,0.9506410270697409,1469.0233565922128,0.06599874362384646,-1.2075084479518241e-08,0.9506410149946564,0.9667084716219856,14
number_list_steganography,307,14,0.10562300914755703,0.4039118704223013,2077.003612361449,0.569847974635393,0.024461845861011026,0.42837371628331233,0.8545238782400777,14
web_hacking,279,14,0.36200716845878134,1.2024982719485027,2078.0659229067073,0.011002880531158306,0.08408725347941029,1.286585525427913,0.7382155037930607,14
image_labeling,266,12,0.06525536595789475,0.8671330645322398,1079.8513573945907,0.21973574422015904,0.03510364071248123,0.9022367052447211,0.8533634703546167,12
iclr_authors,259,12,0.05384942084942086,1.9999999999999998,1249.4458749850924,0.011899496555606424,0.011651710871183748,2.0116517108711833,0.8663907845548375,12
esolang,221,14,0.3574660633484163,1.9999999999999998,2333.135837140983,0.0036814169176085667,0.0432005754093544,2.043200575409354,0.5612197537790504,14
wikipedia_research,207,14,0.5797101449275363,1.6867775960186313,2033.2100418598613,0.00309073326236037,-0.024135873598032813,1.6626417224205985,0.9320127616547836,14
local_research,201,14,0.2537313432835821,1.1322623296985646,2082.0500183644695,0.008702872615939057,-0.01400714684135017,1.1182551828572145,0.9034202654503265,14
spn_cryptanalysis,192,14,0.0,1e-10,1489.0,0.01,0.0,1e-10,0.0,14
make_web_server,188,14,0.48404255319148937,0.6187849777992781,1297.2135667151595,0.0032499963673353984,-0.01893092167474117,0.5998540561245369,0.7461960028663588,14
continue_pattern,174,14,0.11513333333333334,1.9999999999986533,4075.556785234079,0.0011908983479584,-0.02328156334846679,1.9767184366501864,0.6790814100854262,14
