model,compute,metr_capability,cgi,headroom,n_task_families,n_runs
claude_3_7_sonnet,3.35e+25,0.1169668816210444,0.1169668816210444,0.8830331183789555,34,398
claude_3_5_sonnet,2.700000000000001e+25,0.052535061798838,0.052535061798838,0.947464938201162,41,568
