model,compute,metr_capability,cgi,headroom,n_task_families,n_runs
gpt2,1.92e+21,0.0,0.0,1.0,42,483
claude_3_opus,5.563148765327616e+24,0.028879423947718252,0.028879423947718252,0.9711205760522817,43,655
gpt_4o,8.66331653246133e+24,0.033636511403141785,0.033636511403141785,0.9663634885968582,42,614
gpt_4,2.1e+25,0.028211646576792784,0.028211646576792784,0.9717883534232072,45,601
gpt_4_turbo,2.1e+25,0.02102335649634758,0.02102335649634758,0.9789766435036524,43,679
o1_preview,2.5043453385378528e+25,0.05404209426449764,0.05404209426449764,0.9459579057355023,44,492
claude_3_5_sonnet,2.700000000000001e+25,0.052535061798838094,0.052535061798838094,0.947464938201162,41,568
claude_3_7_sonnet,3.3499999999999998e+25,0.11696688162104449,0.11696688162104449,0.8830331183789555,34,398
