date,capability_index
2019-02-17,0.1721867522656219
2019-02-24,0.17223842939458126
2019-03-03,0.17229080292132493
2019-03-10,0.1723438876241941
2019-03-17,0.1723976993310524
2019-03-24,0.17245225507089665
2019-03-31,0.17256367385656166
2019-04-07,0.17262057869857572
2019-04-14,0.1726783116801893
2019-04-21,0.17273689912291887
2019-04-28,0.17279637013889915
2019-05-05,0.1729180959645837
2019-05-12,0.172980427216938
2019-05-19,0.17304379619265894
2019-05-26,0.1731082540446043
2019-06-02,0.17317385862278767
2019-06-09,0.17330877938144615
2019-06-16,0.17337825517079575
2019-06-23,0.1734491999775813
2019-06-30,0.17352172484349282
2019-07-07,0.17359595697829028
2019-07-14,0.17375014833329736
2019-07-21,0.17383046760165755
2019-07-28,0.1739132214268847
2019-08-04,0.1739986643357461
2019-08-11,0.17408708904945625
2019-08-18,0.1742742804410159
2019-08-25,0.17437387816027694
2019-09-01,0.17447813490044078
2019-09-08,0.17458763442887962
2019-09-15,0.17470304427562244
2019-09-22,0.1749547463280171
2019-09-29,0.17509288787353297
2019-10-06,0.17524066079173103
2019-10-13,0.17539931308087225
2019-10-20,0.1755702397996736
2019-10-27,0.17595526880665865
2019-11-03,0.17617293675830528
2019-11-10,0.17640999799637844
2019-11-17,0.1766685812486508
2019-11-24,0.17695090713460582
2019-12-01,0.17759582378796676
2019-12-08,0.1779627933837981
2019-12-15,0.17836207188657374
2019-12-22,0.17879524394375357
2019-12-29,0.17926341573531857
2020-01-05,0.17976706658760222
2020-01-12,0.1808787316650694
2020-01-19,0.1814833607565154
2020-01-26,0.1821165584500491
2020-02-02,0.18277407126246922
2020-02-09,0.18345071871837804
2020-02-16,0.18483714593710976
2020-02-23,0.18553377307602123
2020-03-01,0.18622382220918554
2020-03-08,0.18690104363018564
2020-03-15,0.1875598256745583
2020-03-22,0.1888039876266685
2020-03-29,0.18938283696987523
2020-04-05,0.18993023366646494
2020-04-12,0.19044541972640694
2020-04-19,0.19085488987163823
2020-04-26,0.19112580598157072
2020-05-03,0.19126412720395466
2020-05-10,0.19140439633703413
2020-05-17,0.1915466433403668
2020-05-24,0.19169089867226885
2020-05-31,0.1919855587031762
2020-06-07,0.19213602689480785
2020-06-14,0.19228863041931743
2020-06-21,0.19244340236819707
2020-06-28,0.19260037638892047
2020-07-05,0.1929210680777785
2020-07-12,0.19308485591473148
2020-07-19,0.19325098618301137
2020-07-26,0.19341949546952036
2020-08-02,0.19359042098275472
2020-08-09,0.19393967270294662
2020-08-16,0.19411807654330654
2020-08-23,0.19429905190249444
2020-08-30,0.19448263928133358
2020-09-06,0.19466887987823064
2020-09-13,0.19504948909119865
2020-09-20,0.19524394371850434
2020-09-27,0.1954412236159575
2020-10-04,0.19564137368527698
2020-10-11,0.19584443961475065
2020-10-18,0.19605046789555586
2020-10-25,0.19647160159156735
2020-11-01,0.1966868041571871
2020-11-08,0.1969051634110855
2020-11-15,0.19712673012090087
2020-11-22,0.19735155596568982
2020-11-29,0.19781119645443462
2020-12-06,0.19804611919719023
2020-12-13,0.19828451731583122
2020-12-20,0.19852644736009048
2020-12-27,0.19877196692126545
2021-01-03,0.19927401031319653
2021-01-10,0.19953065475587653
2021-01-17,0.19979112999170717
2021-01-24,0.20005549919853893
2021-01-31,0.20032382675319865
2021-02-07,0.20087262058523594
2021-02-14,0.20115322188016893
2021-02-21,0.2014380516217521
2021-02-28,0.2017271806419195
2021-03-07,0.2020206811630002
2021-03-14,0.2026210927647982
2021-03-21,0.2029281555697663
2021-03-28,0.20323989340173101
2021-04-04,0.20355638599543358
2021-04-11,0.20387771470905375
2021-04-18,0.20453521430806462
2021-04-25,0.20487155642515653
2021-05-02,0.20521307721968457
2021-05-09,0.20555986684758998
2021-05-16,0.20591201737088155
2021-05-23,0.20663277919840806
2021-05-30,0.2070015846373116
2021-06-06,0.20737613935408225
2021-06-13,0.20775654576086763
2021-06-20,0.20814290851553874
2021-06-27,0.2085353345842915
2021-07-04,0.20933881645852725
2021-07-11,0.20975009832645974
2021-07-18,0.21016789577121103
2021-07-25,0.21059232830258745
2021-08-01,0.2110235181523925
2021-08-08,0.2119066727992766
2021-08-15,0.2123588963588881
2021-08-22,0.2128183949226711
2021-08-29,0.21328530550345592
2021-09-05,0.21375976831837484
2021-09-12,0.21473192806795663
2021-09-19,0.21522992225707407
2021-09-26,0.21573606337555123
2021-10-03,0.21625050901989437
2021-10-10,0.2167734205508094
2021-10-17,0.21784530615346837
2021-10-24,0.21839462270466656
2021-10-31,0.21895309032273177
2021-11-07,0.2195208907913198
2021-11-14,0.22009821032545251
2021-11-21,0.22128217437180445
2021-11-28,0.22188921463889588
2021-12-05,0.22250656576656777
2021-12-12,0.2231344381524741
2021-12-19,0.2237730474892542
2021-12-26,0.22508336732788736
2022-01-02,0.22575553733622133
2022-01-09,0.2264393637299474
2022-01-16,0.22713509159165624
2022-01-23,0.2278429725799277
2022-01-30,0.22929623516544556
2022-02-06,0.23004215562715746
2022-02-13,0.23080130765084222
2022-02-20,0.19868483141190094
2022-02-27,0.1993432897183036
2022-03-06,0.200695951526575
2022-03-13,0.20139069448689206
2022-03-20,0.20213783153792297
2022-03-27,0.20293975602573291
2022-04-03,0.20371520416122102
2022-04-10,0.20450494317167311
2022-04-17,0.20612865877602624
2022-04-24,0.20696335056522283
2022-05-01,0.20786019630394342
2022-05-08,0.20872753162193963
2022-05-15,0.20966028645868792
2022-05-22,0.21143050962699803
2022-05-29,0.21241809144267215
2022-06-05,0.2133734755843249
2022-06-12,0.2144018729648967
