scenario,target_years,target_eci,compute_needed,tax,actual_needed,available,gap,achievable,reason
1 Year,1,163.41004806932827,2.1414051974393054e+28,1.2202715033552958,2.6130957395721052e+28,2.00000000000004e+27,13.065478697860266,False,Insufficient compute
2 Years,2,192.14608564417205,1.2203852659540618e+32,1.1970994956815075,1.46092258641075e+32,8.00000000000016e+27,18261.53233013401,False,Insufficient compute
3 Years,3,220.88212321901585,2.336563073944846e+37,1.176365124885187,2.7486513122832454e+37,3.200000000000064e+28,858953535.088497,False,Insufficient compute
5 Years,5,278.35419836870346,2.3401539489822817e+99,1.141210537005307,2.6706083447931593e+99,5.120000000000102e+29,5.216031923424035e+69,False,Insufficient compute
10 Years,10,422.03438624292244,,,,,,False,Exceeds ceiling
20 Years,20,709.3947619913604,,,,,,False,Exceeds ceiling
